id,prestige
KAQ,-0.714
CTM,-4.017
KER,-0.449
ZNI,-6.791
MSC,42.076
LIP,21.764
CHT,-0.803
MIS,40.698
TAI,-50.269
CNP,-0.483
TON,-12.787
YAQ,27.026
YKT,13.439
NSS,5.000
PRY,5.000
TOR,5.000
LIB,5.000
UBV,38.566
LBV,-0.833
ING,53.590
PSS,-0.119
MBZ,20.148
KNZ,47.979
ROT,24.611
BYT,14.900
REG,23.427
GNV,-19.911
TTL,-20.959
OPL,-2.589
GLG,-1.484
BLG,13.770
PDV,-0.119
SZO,21.160
SPL,-0.119
WOL,-0.119
STE,-33.019
GOS,12.266
SOR,5.000
RUG,-0.119
CLI,-3.363
HRZ,-2.018
TNT,17.315
BRG,-9.921
MLH,-0.119
BAM,42.904
RUP,-0.119
LPP,-0.119
PAD,29.041
CLB,-0.122
DWT,-0.119
OSN,-0.531
VRN,-0.119
COB,-0.119
LOT,5.000
PGA,1.050
TTS,4.669
FKN,5.000
SWA,5.000
JMN,5.000
ROM,5.000
SYN,5.000
C00,1.551
C01,25.153
C02,-17.244
C03,-41.460
C04,-1.155
C05,-54.243
C06,11.897
C07,-2.807
C08,-9.340
C09,13.369
C10,-6.664
C11,-38.082
C12,-47.126
C13,-51.680
C14,5.000
C15,5.000
C16,5.000
C17,5.000
C18,5.000
C19,5.000
C20,5.000
C21,5.000
C22,5.000
C23,5.000
C24,5.000
C25,5.000
C26,5.000
C27,5.000
C28,5.000
C29,5.000
C30,5.000
C31,5.000
C32,5.000
C33,5.000
C34,5.000
C35,5.000
C36,5.000
C37,5.000
C38,5.000
C39,5.000
C40,5.000
C41,5.000
C42,5.000
C43,5.000
C44,5.000
C45,5.000
C46,5.000
C47,5.000
C48,5.000
C49,5.000
C50,5.000
C51,5.000
C52,5.000
C53,5.000
C54,5.000
C55,5.000
C56,5.000
C57,5.000
C58,5.000
C59,5.000
C60,5.000
C61,5.000
C62,5.000
C63,5.000
C64,5.000
C65,5.000
C66,5.000
C67,5.000
C68,5.000
C69,5.000
C70,5.000
C71,5.000
C72,5.000
C73,5.000
C74,5.000
K00,5.000
K01,5.000
K02,5.000
K03,5.000
K04,5.000
K05,5.000
K06,5.000
K07,5.000
K08,5.000
K09,5.000
K10,5.000
K11,5.000
K12,5.000
K13,5.000
K14,5.000
K15,5.000
K16,5.000
K17,5.000
K18,5.000
K19,5.000
K20,5.000
K21,5.000
K22,5.000
K23,5.000
K24,5.000
K25,5.000
K26,5.000
K27,5.000
K28,5.000
K29,5.000
K30,5.000
K31,5.000
K32,5.000
K33,5.000
K34,5.000
K35,5.000
K36,5.000
K37,5.000
K38,5.000
K39,5.000
K40,5.000
K41,5.000
K42,5.000
K43,5.000
K44,5.000
K45,5.000
K46,5.000
K47,5.000
K48,5.000
K49,5.000
K50,5.000
K51,5.000
K52,5.000
K53,5.000
K54,5.000
K55,5.000
K56,5.000
K57,5.000
K58,5.000
K59,5.000
K60,5.000
K61,5.000
K62,5.000
K63,5.000
K64,5.000
K65,5.000
K66,5.000
K67,5.000
K68,5.000
K69,5.000
K70,5.000
